_key,username,location,postcount,likes,keyword,gender,identity,marriage,region,risk_appetite,education,revenue,deposit,debt,intended_products,label
197,6C9,Al Bukairiyah - 🇸🇦,17689.0,42.0,0.9150636196136475,,,,,,,,,,,
198,B93,West Michigan!,2068.0,0.0,1.065428450703621,,,,,,,,,,,
199,6cd,,1.0,0.0,0.7545769512653351,,,,,,,,,,,
200,35c,,8.0,27.0,0.9665248915553093,,,,,,,,,,,
201,891,SoCal,1.0,0.0,0.8296785354614258,,,,,,,,,,,
202,01a,"Fort Wayne, Indiana",31.0,2.0,1.0235159397125244,,,,,,,,,,,
203,cdd,Atlanta,92.0,115.0,1.1030747219920158,,,,,,,,,,,
204,C69,,12.0,2.0,1.0243040658533573,,,,,,,,,,,
205,1FD,,1.0,0.0,0.0,,,,,,,,,,,
206,685,"Camp Pendleton North, CA",425.0,16998.0,1.1568318009376526,,,,,,,,,,,
207,d7c,,1.0,0.0,0.8712656944990158,,,,,,,,,,,
208,25F,AL AHSSA and jazan,1845.0,687.0,0.862590491771698,,,,,,,,,,,
209,ade,"Godalming, UK",37992.0,15770.0,0.9682837873697281,,,,,,,,,,,
210,651,,1.0,0.0,0.9261055961251259,,,,,,,,,,,
211,b51,,1.0,0.0,1.0975978672504425,,,,,,,,,,,
212,A41,,19.0,0.0,0.914628155529499,,,,,,,,,,,
213,6B9,رأس الخيمة,26.0,470.0,1.049307532608509,,,,,,,,,,,
214,B53,Dublin Ireland,167.0,350.0,1.0884086936712265,,,,,,,,,,,
215,9F1,,53.0,0.0,1.0365301184356213,,,,,,,,,,,
216,A5C,,11.0,0.0,1.0135470777750015,,,,,,,,,,,
217,229,,2.0,1.0,0.7634635269641876,,,,,,,,,,,
218,Ede,,4.0,0.0,1.1061085388064384,,,,,,,,,,,
219,e95,,1.0,0.0,0.9494825191795826,,,,,,,,,,,
220,6D1,,9.0,0.0,1.099155232310295,,,,,,,,,,,
221,70a,,2.0,0.0,0.9769028201699257,,,,,,,,,,,
222,134,,1.0,0.0,0.0,,,,,,,,,,,
223,756,,1.0,0.0,0.908938817679882,,,,,,,,,,,
224,9Eb,Madrid,11062.0,12380.0,0.8670143187046051,,,,,,,,,,,
225,a95,,1.0,0.0,1.0129160061478615,,,,,,,,,,,
226,86b,على قيد أُمنية,218.0,25.0,0.9789651706814766,,,,,,,,,,,
227,d0b,Tokyo,2097.0,177.0,0.9863716438412666,,,,,,,,,,,
